drugid1,drug_smile1
D0B4CJ,C1COCCN1C2=CC(=O)C3=C(O2)C=CC(=C3)C4=CC=CC=C4
D0W3QB,C1COCCN1C2=CC(=S)C3=C(O2)C4=CC=CC=C4C=C3
D0V0SD,C1COCCN1C2=CC(=O)N3C=CC=CC3=N2
D0T0BY,C1COCCN1C2=CC(=O)N3C=CC4=CC=CC=C4C3=N2
D02TCZ,C1CSCCN1C2=CC(=O)N3C=CC4=CC=CC=C4C3=N2
D07NSR,C1COCCN1C2=CC(=O)OC3=CC4=CC=CC=C4C=C23
D0G4RG,C1COCCN1C2=CC(=O)OC3=C2C=CC4=CC=CC=C43
D0J7BH,C1COCCN1C2=CC(=O)OC3=CC=CC=C32
D0L3TX,C1CCN(CC1)C2=CC(=O)OC3=CC=CC=C32
D04ECT,C1CSCCN1C2=CC(=O)OC3=CC4=CC=CC=C4C=C23
D04SCD,C1COCCN1C2=CC(=O)OC3=C2C=C(C=C3)Cl
D06BDY,COC1=CC2=C(C=C1)OC(=O)C=C2N3CCOCC3
D0JB6H,CC1=CC2=C(C=C1)OC(=O)C=C2N3CCOCC3
D0ZQ8Z,COC1=CC2=C(C=C1)C(=O)C=C(O2)N3CCOCC3
D0O4KC,COC1=CC2=C(C=C1)C(=CC(=O)O2)N3CCOCC3
D0R1BG,COC1=CC=CC2=C1OC(=CC2=O)N3CCOCC3
D07AXO,COC1=CC=CC2=C1OC(=O)C=C2N3CCOCC3
D0F6ZC,CC1=CC=CC2=C1OC(=CC2=O)N3CCOCC3
D0U9ZW,CC1=CC=CC2=C1OC(=O)C=C2N3CCOCC3
D0Q5FJ,C1CCN(CC1)C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4
D0N2LW,C1CSCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4
DB07453,O=C1C=C(OC2=C1C=CC1=C2C=CC=C1)C1=CC=CC=C1
D09JAR,C(=O)(O)[O-]
D02ECG,C(=O)(C(=O)C)[O-].[Na+]
D07ZXR,C(CCCCCCOS(=O)(=O)N)CCCCCOS(=O)(=O)N
D07CBA,C(CCCCCCCCOS(=O)(=O)N)CCCCCCCOS(=O)(=O)N
D07IHP,C1=CC(=CC(=C1)OS(=O)(=O)N)OS(=O)(=O)N
D04BKU,C(CCOS(=O)(=O)N)COS(=O)(=O)N
D0N5KX,C1=CC(=CC=C1COS(=O)(=O)N)COS(=O)(=O)N
D0X0PO,C(CCCOS(=O)(=O)N)CCOS(=O)(=O)N
D0A0JU,CCS(=O)(=O)NC1=CC=CC(=C1)C(=C2CCCCC2)C3=CN=CN3
D09CKI,COC=C(C1CC2C3=C(CCN2CC1C=C)C4=CC=CC=C4N3)C(=O)OC
D0XL9J,CC1(C(NC(=O)N(C1=O)CCCN2CCN(CC2)C3=C(C=C(C=C3)F)OCC(F)(<br />F)F)O)O
D0L5TJ,COC1=CC=CC2=C1CCC3C2CN(C3)CCN4C(=O)C5=C(C6=C(S5)C=CC=N6<br />)NC4=O
D0CT8A,CCOC1=C(C=C(C=C1)CNC2=CC=C(C=C2)C(=N)N)OCC
D02XPB,COC1=C(C=CC(=C1)CNC2=CC=C(C=C2)C(=N)N)OCC3=CC=CC=C3
D0H4TP,CNC(=O)C1=CN=C(C=C1)OC2=CC3=C(CCN(CC3)C4CCC4)C=C2
D07KTP,C1=CC(=CC=C1CC2=CN=CN2)CNC(=O)NC3=CC(=CC(=C3)Cl)Cl
D0RP8X,C1CCN(C1)CCCCCOC2=CC=C(C=C2)[N+](=O)[O-]
D01CJZ,C1CNCCC1CCCC2=CN=CN2
D09VMS,COC1=CC(=CC(=C1OC)OC)CC2C(COC2O)CC3=CC4=C(C=C3)OCO4
D0NC3P,C1C(C(C(O1)O)CC2=CC3=C(C=C2)OCO3)CC4=CC5=C(C=C4)OCO5
D02HSP,COC1=CC(=CC(=C1OC)OC)CC2COC(C2CC3=CC(=C(C(=C3)OC)OC)OC)<br />O
D05KIF,COC1=CC(=CC(=C1OC)OC)CC2COC(=O)C2CC3=CC(=C(C(=C3)OC)OC)<br />OC
D06MLU,COC1=CC(=CC(=C1OC)OC)CC(CO)C(CC2=CC3=C(C=C2)OCO3)CO
D0B2ZB,COC1=CC(=CC(=C1O)OC)CC2COC(=O)C2CC3=CC4=C(C(=C3)OC)OCO4
D0T4AC,COC1=CC(=CC2=C1OCO2)CC3COC(C3CC4=CC(=C(C(=C4)OC)OC)OC)O
D00GOQ,COC1C(C(CO1)CC2=CC3=C(C=C2)OCO3)CC4=CC5=C(C=C4)OCO5
D00TOF,C1OC2=C(O1)C=C(C=C2)CC(CO)C(CC3=CC4=C(C=C3)OCO4)CO
D0A1SJ,CCOC1=CC(=CC2=C1OCO2)CC3COC(C3CC4=CC(=C(C(=C4)OC)OC)OC)<br />O
D00RGP,COC1=CC(=CC(=C1O)OC)C2C3COC(C3CO2)C4=CC(=C(C=C4)O)OC
DB04912,[Cl-].[Cl-].[Sn+4].CCC1=C2[N-]C(\C=C3/N=C(/C=C4\[N-]\C(=C/C5=N/C(=C\2)/C(C)=C5CC)C(C)=C4CCC(O)=O)C(CCC(O)=O)=C3C)=C1C
D0E9BF,o1c(ccc1CO)C=O
D0M3PO,C1=C(C(=CC(=C1N)S(=O)(=O)N)S(=O)(=O)N)C(F)(F)F
D0OI1H,C1=CC=C(C(=C1)N)S(=O)(=O)N
D0G0FJ,C1=CC=C(C(=C1)NN)S(=O)(=O)N
DB08782,NCCC1=CC=C(C=C1)S(N)(=O)=O
D04VLI,C1=CC(=CC=C1CCO)S(=O)(=O)N
D05XZM,C1=CC(=CC=C1CO)S(=O)(=O)N
D0M7VN,CN(C1=CC=C(C=C1)S(=O)(=O)N)N
D0P6AM,C1=CC(=C(C=C1S(=O)(=O)N)Br)N
D0YU8J,C1=CC(=C(C=C1S(=O)(=O)N)Cl)N
D04CVC,C1=CC(=C(C=C1S(=O)(=O)N)F)N
D01STY,C1=CC(=C(C=C1S(=O)(=O)N)I)N
D07AGM,CNC1=CC=C(C=C1)S(=O)(=O)N
D09PWX,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N
D0ZC3W,CC1=CC=C(C=C1)S(=O)(=O)N
D0XL5K,C1=CC=C2C(=C1)N=C(S2)S(=O)(=O)N
D03BOZ,C1COCCC1(CS(=O)(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)Cl)C(=O)N<br />O
D01SRS,CC1CC2=C(CN1)C=C(C=C2)[N+](=O)[O-]
D01SRL,C1CNCC2=C1C=CC(=C2)[N+](=O)[O-]
D0K1QD,S(=O)(=O)(c1ccc(cc1)CN)N
D0J2AE,C1=CC(=CC(=C1)S(=O)(=O)N)N
D0NN3Q,C1=CC(=CC=C1NN)S(=O)(=O)N
D06EJS,CC1=CC2CC3=C(C=CC(=O)N3)C4(C1)C2CCCN4C(=O)CN(C)CCCCCCN(<br />C)CC(=O)N5CCCC6C57CC(=CC6CC8=C7C=CC(=O)N8)C
D0P5CV,CC1=CC2CC3=C(C=CC(=O)N3)C4(C1)C2CCCN4C(=O)CCN(C)CCCCCCC<br />CN(C)CCC(=O)N5CCCC6C57CC(=CC6CC8=C7C=CC(=O)N8)C
D03EPB,CC1=CC2CC3=C(C=CC(=O)N3)C4(C1)C2CCCN4C(=O)CCN(C)CCCCCCC<br />CCCN(C)CCC(=O)N5CCCC6C57CC(=CC6CC8=C7C=CC(=O)N8)C
D04ZJK,CC1=CC2CC3=C(C=CC(=O)N3)C4(C1)C2CCCN4C(=O)CCN(C)CCCCCCC<br />CCCCCN(C)CCC(=O)N5CCCC6C57CC(=CC6CC8=C7C=CC(=O)N8)C
D0N8EC,CC1=CC2CC3=C(C=CC(=O)N3)C4(C1)C2CCCN4C(=O)CN(C)CCN(C)CC<br />(=O)N5CCCC6C57CC(=CC6CC8=C7C=CC(=O)N8)C
D0UF9K,CC1=CC2CC3=C(C=CC(=O)N3)C4(C1)C2CCCN4C(=O)CN(C)CCCN(C)C<br />C(=O)N5CCCC6C57CC(=CC6CC8=C7C=CC(=O)N8)C
D01WIH,C1=CC(=CC=C1NC2=NC=NC3=C2NC=N3)F
D0M3CT,C1=CC=C(C=C1)SC2=NC=NC3=C2C=CN3
D0Q8HM,C1=CC(=CC=C1F)SC2=NC=NC3=C2NC=N3
D0L3DF,C1=CC=C(C=C1)SC2=NC=NC3=C2N=CN3CC4=CC=C(C=C4)F
DB07352,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O
DB15581,OC1=CC(O)=C2C(=O)C=C(OC2=C1)C1=CC=CC=C1
D0Q9ZD,c1(c(cc(cc1C(C)(C)C)SC(Sc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C<br />)(C)C)C(C)(C)C)OCC(=O)O
D0D7AS,C1=CC=C(C=C1)C(=O)ON=CC2=CC=CS2
D04GTP,CCC1=CC=CC=C1NC(=O)OC2=CC3=C(C=C2)NC4C3(CC[N+]4(C)[O-])<br />C.Cl
D06XNP,CN(C)C1=CC=C(C=C1)C(=O)NCCCCCCS
D0D2KE,C1=CC=C(C=C1)NC(=O)CCCCS
D02MQM,C1=CC=C(C=C1)NC(=O)CCCCCNC(=O)CBr
D0B3ZM,C1=CC=C(C=C1)NC(=O)CCCCCS
D09YBN,C1=CC=C(C=C1)OCCCCCCS
D0Z5KX,C1=CC=C2C(=C1)N=C(S2)NC(=O)CCCCCCS
D05XAN,C1=CC=C(C=C1)C2=CC(=CC=C2)NC(=O)CCCCCCS
D01XWZ,C1=CC=C(C=C1)C2=CC=C(C=C2)NC(=O)CCCCCCS
D00SEE,C1=CC=C(C=C1)NC(=O)CCCCCCS
D07FJU,C1=CC(=CN=C1)NC(=O)CCCCCCS
D0T4IY,C1=CC=C2C(=C1)C=C(C=N2)NC(=O)CCCCCCS
D0XZ9Q,C1=CC=C(C=C1)NC(=O)CCCCCCCS
D04HSS,C1=CC=C(C=C1)C(=O)NCCCCCCS
D05MJG,C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCN=C(N)N)CC<br />CCNC(=O)CCC(C(=O)NCCCCC2C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(<br />C(=O)N2)CC3=CC=C(C=C3)O)CC(=O)O)CCCN=C(N)N)NC(=O)CCO)CC<br />4=CC=C(C=C4)O)CC(=O)O
DB16080,CC1=C([C@@H](OC2=C1C=CC(O)=C2)C1=CC=C(OCCN2CCCCC2)C=C1)C1=CC=C(O)C=C1
D00RDY,C1=C(C2=C(N1C3C(C(C(O3)CO)O)O)N=CN=C2N)I
D0N1HL,C(=O)(N[C@H](C(=O)N)Cc1ccccc1)[C@@H](NC(=O)[C@H](NC(=O)<br />[C@H](Cc1ccc(cc1)O)N)C)Cc1ccc(F)cc1
D07XLJ,C1=CC=C(C=C1)CNC2=CC3=C(C=C2)N=C(N=C3N)N
D02XTS,C1=CC=C(C=C1)C(=CC2=CN=CC=C2)C3=CC=CC=C3
D0TM4K,CC1CC(=CC2=CN=CC=C2)C3=CC=CC=C13
D02BWQ,CC1CC(=CC2=CN=CC=C2)C3=CC=CC=C13
D0Y0CT,C1C(C2=CC=CC=C2C1=CC3=CN=CC=C3)C4=CC=CC=C4
D0V3YH,C1CC2=C(C1=CC3=CN=CC=C3)C=CC=C2Cl
D05MQE,C1CC2=C(C1=CC3=CN=CC=C3)C=CC=C2Cl
D04QPK,C1CC2=C(C1=CC3=CN=CC=C3)C=CC=C2F
D0L1JF,C1CC2=C(C1=CC3=CN=CC=C3)C=CC=C2F
D0AH1B,CC1=CC=CC2=C1CCC2=CC3=CN=CC=C3
D08AZK,C1CC(=CC2=CN=CC=C2)C3=C1C=C(C=C3)Br
D0U7RR,C1CC(=CC2=CN=CC=C2)C3=C1C=C(C=C3)Br
D02NAG,C1CC(=CC2=CN=CC=C2)C3=C1C=C(C=C3)Cl
D04ELJ,C1CC(=CC2=CN=CC=C2)C3=C1C=C(C=C3)Cl
D0N9PY,CCOC1=CC2=C(C=C1)C(=CC3=CN=CC=C3)CC2
D0Q3JZ,CCOC1=CC2=C(C=C1)C(=CC3=CN=CC=C3)CC2
D0V8CR,C1CC(=CC2=CN=CC=C2)C3=C1C=C(C=C3)F
D0M7FS,C1CC(=CC2=CN=CC=C2)C3=C1C=C(C=C3)F
D09YXV,COC1=CC2=C(C=C1)C(=CC3=CN=CC=C3)CC2
D08PNF,COC1=CC2=C(C=C1)C(=CC3=CN=CC=C3)CC2
D00VUO,COC1=CC2=C(CCC2=CC3=CN=CC=C3)C=C1
D0AY4E,CC1=CC2=C(CCC2=CC3=CN=CC=C3)C=C1
D0Y7RB,CC1=CC2=C(CCC2=CC3=CN=CC=C3)C=C1
D0YS2F,COC1=CC=CC2=C1C(=CC3=CN=CC=C3)CC2
D00GCK,C1=CC=C2C(=C1)C3=CC=CC=C3C2=CC4=CN=CC=C4
D01SUE,C1CC(=CC2=CN=CC=C2)C3=CC=CC=C31
D07PYC,C1CC(=CC2=CN=CC=C2)C3=CC=CC=C31
D0Z4GR,C1=CC=C(C=C1)C(=CC2=CC=NC=C2)C3=CC=CC=C3
D09VPA,C1CC(=CC2=CC=NC=C2)C3=C1C=C(C=C3)Br
D0D9FR,C1CC(=CC2=CC=NC=C2)C3=C1C=C(C=C3)Br
D0YD9J,C1CC(=CC2=CC=NC=C2)C3=C1C=C(C=C3)Cl
D0F5YU,C1CC(=CC2=CC=NC=C2)C3=C1C=C(C=C3)Cl
D03MKT,C1CC(=CC2=CC=NC=C2)C3=C1C=C(C=C3)F
D09HOE,C1CC(=CC2=CC=NC=C2)C3=C1C=C(C=C3)F
D09HGK,COC1=CC2=C(C=C1)C(=CC3=CC=NC=C3)CC2
D07ZYL,COC1=CC2=C(C=C1)C(=CC3=CC=NC=C3)CC2
D0K3CE,COC1=CC2=C(CCC2=CC3=CC=NC=C3)C=C1
D0J2WW,COC1=CC2=C(CCC2=CC3=CC=NC=C3)C=C1
D0D8GU,CC1=CC2=C(CCC2=CC3=CC=NC=C3)C=C1
D07ZCD,CC1=CC2=C(CCC2=CC3=CC=NC=C3)C=C1
D05YNW,C1CC(=CC2=CC=NC=C2)C3=CC=CC=C31
D02CSU,C1CC(=CC2=CC=NC=C2)C3=CC=CC=C31
D06HFV,C1CC(=CC2=CN=CN=C2)C3=C1C=C(C=C3)F
D04REX,C1CC(=CC2=CN=CN=C2)C3=C1C=C(C=C3)F
D0C8EO,COC1=CC2=C(C=C1)C(=CC3=CN=CS3)CC2
D0U6IT,COC1=CC2=C(C=C1)C(=CC3=CN=CS3)CC2
D0O5KG,C1=CC=C(C=C1)OC2=CC=CC(=C2)C(=O)NC3=CC=CC=C3C(=O)O
D00GIB,C1=CC=C(C=C1)OC2=C(C=CC(=C2)C(=O)NC3=CC=CC=C3C(=O)O)Br
D09EYO,C1=CC=C(C=C1)OC2=C(C=CC(=C2)C(=O)NC3=CC=CC=C3C(=O)O)F
D0K9GC,C1=CC=C(C(=C1)C(=O)O)NC(=O)C2=CC(=CC=C2)OC3=CC=NC=C3
D0O4IV,C1=CC=C(C=C1)OC2=CC=CC(=C2)C(=O)NC3=C(C(=CC=C3)F)C(=O)O
D09RXJ,C1=CC=C(C=C1)OC2=CC=CC(=C2)C(=O)NC3=C(C(=CC=C3)O)C(=O)O
D0V9DQ,C1=CC=C(C=C1)C2=CN=C(O2)NC3=CC=CC(=C3)CO
D03HQK,C1=CC=C(C=C1)C2=CN=C(O2)NC3=CC=CC=C3C#N
D0J2XD,C1=CC=C(C=C1)C2=CN=C(O2)NC3=CC=CC(=C3)C#N
D04HDO,C1=CC=C(C=C1)CCN2C(=NC3=CC=CC=C3C2=O)C4=CC=CC=C4
D0UR7D,CN1CCC23C(C1CC4=C2C=C(C=C4)O)C=CC(C3OC)NC(=O)CC5C(C(C(C<br />(O5)COCC6=CC=CC=C6)OCC7=CC=CC=C7)OCC8=CC=CC=C8)OCC9=CC=<br />CC=C9
D0A5MU,CN1CCC23C(C1CC4=C2C=C(C=C4)O)C=CC(C3OC)NC(=O)CC5C(C(C(C<br />(O5)CO)O)O)O
D0H0PQ,C(=O)(N)OP(=O)(O)O
D0V4RP,COC1=CC=CC=C1N2CCNCC2
D0XJ6D,CC1=CN(C2=CC=CC=C12)S(=O)(=O)C3=CC=C(C=C3)N
D06QVB,C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)C3=CC=C(C=C3)N
D0G3GF,CNC(=O)C1C(C(C(O1)N2C=NC3=C2N=CN=C3NCC4=CC(=CC=C4)I)O)O<br />.CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(C<br />CC(=O)O)C(=O)O
D0PE1A,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CC4CC3C5C4O5
D0K0DB,CC(CN1CCC(CC1)CC2=CC=CC=C2)C(C3=CC=C(C=C3)O)O
D02XHH,C1CC(=CC2=CN=CN2)C3=C1C=C(C=C3)Br
D09QDY,C1CC(=CC2=CN=CN2)C3=CC=CC=C31
D00MLE,C1=CC=C(C=C1)OC2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)N
D0D3AS,C1=CC=C(C=C1)OC2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)[N+](=O<br />)[O-]
D0U2TQ,C1=CC(=CC(=C1)Cl)NC2=NC=CC(=N2)C3=CC(=NC=C3)NCCCO
D0A5XB,C1=CC=C2C(=C1)OC(O2)COS(=O)(=O)N
D04MAM,C1CC2=CC=CC=C2OC1COS(=O)(=O)N
D0FU5E,C1C(CC2=C1C=CC(=C2)F)CC3CN=CN3
D0K9JP,CN(CCC1=CC2=C(C=C1)C=CO2)CC3CCCC4=C3C=CC=C4OC
D06KTD,C1=CC=C(C(=C1)C(=O)NN)S(=O)(=O)N
D07CQI,COC(=O)C1=CC=CC=C1S(=O)(=O)N
D01UDU,C1=CC(=C(C=C1S(=O)(=O)N)Cl)NN
D01YHK,C1=CC(=C(C=C1S(=O)(=O)N)F)NN
D0Q0EK,C1=CC(=CC=C1C(=O)NN)S(=O)(=O)N
D01KZC,N(C(=O)c1c(OC)cccc1)(C(=O)OC[C@@H](COC(=O)N1CCC(OC(=O)N<br />CCCCCCCCCCCCCCCCCC)CC1)OC)Cc1[n+](CC)cccc1.[Cl-]
D03EDF,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
D0Z9YE,C1CC(N(C1)C(=O)C(CC2=CC=C(C=C2)O)N)C(=O)NC(CC3=CC=CC=C3<br />)C(=O)NC(CC4=CC=C(C=C4)O)C(=O)N5CCCC5C(=O)NC(CC6=CC=CC=<br />C6)C(=O)N
D0J9DO,C1CC(N(C1)C(=O)C(CC2=CC=C(C=C2)O)N)C(=O)NC(CC3=CC=CC=C3<br />)C(=O)CCNC(CC4=CC=C(C=C4)O)C(=O)N5CCCC5C(=O)NC(CC6=CC=C<br />C=C6)C(=O)N
D01ESN,C1CC(N(C1)C(=O)C(CC2=CC=C(C=C2)O)N)C(=O)NC(CC3=CC=CC=C3<br />)C(=O)NC(CC4=CC=CC=C4)C(=O)NC(CC5=CC=C(C=C5)O)C(=O)N6CC<br />CC6C(=O)NC(CC7=CC=CC=C7)C(=O)NC(CC8=CC=CC=C8)C(=O)N
D0O7XU,C1CC(N(C1)C(=O)C(CC2=CC=C(C=C2)O)N)C(=O)NC(CC3=CC=CC=C3<br />)C(=O)NC(CC4=CC=CC=C4)C(=O)CCNC(CC5=CC=C(C=C5)O)C(=O)N6<br />CCCC6C(=O)NC(CC7=CC=CC=C7)C(=O)NC(CC8=CC=CC=C8)C(=O)N
D0PK8Y,CN1C=NC=C1CN2CC(CC3=C2C=CC(=C3)C#N)N(CC4=CSC=C4)S(=O)(=<br />O)C5=CC=CC=N5
D09ISB,C(CC(C(=O)O)N)CP(=O)(O)[O-]
D01LDO,C(CCC(C(=O)O)N)CCP(=O)(O)O
DB02189,NC1=C2N=CN([C@H]3CC[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O3)C2=NC=N1
D07TYK,C1CC(OC1COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N2C=NC3=C2CN=C(C3<br />=O)N
DB02452,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O
D0F0KS,C1=CC=C(C=C1)NC(=O)C(=O)NCCS
D01MFV,C1=CC=C(C=C1)NC(=O)CCC(=O)NCCS
D05JPG,CNCCC1=CC(C2=CC=CC=C21)CC3=CC=CC=C3
D0JT3M,CN(C)CCN1C=C(C2=CC=CC=C21)CC3=CC=CC=C3
D09LVG,C1=CC=C2C(C=CC2=C1)CC3=CC=C(C=C3)N
D09VSK,C1=CC=C2C(=C1)C(=CN2)CC3=CC=C(C=C3)N
D01ZMO,C1C=C(C2=CC=CC=C21)CC3=CC=C(C=C3)N
D01DCE,C1CC2=CC=CC=C2C1SC3=CC=C(C=C3)N
D0LA4I,C1CC2=CC=CC=C2C1S(=O)(=O)C3=CC=C(C=C3)N
D0X1IU,C1CC2=CC=CC=C2C1CC3=CC=C(C=C3)N
D05HJP,C1=CC=C2C(=C1)C=CC2=CC3=CC=C(C=C3)N
D0K4YY,C1CCC2C(C1)CCC(=N2)N
D0R9KX,C1CCC2C(C1)CCC(=N2)N
D0K4SV,C1CC(=NC2=CC=CC=C21)N
D0D7PK,CC1CCN=C(C1)N
D04JDQ,C1=CC=C(C=C1)CCN2C=NC3=C(N=C(N=C32)N)C4=CC=CO4
D0J6PQ,C1=CC=C(C=C1)N2C=NC3=C(N=C(N=C32)N)C4=CC=CO4
D03HVV,Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(=O)O)cc2)c1
D0Z3EI,C1CCN(C1)C(=O)C(C(C2=CC(=C(C=C2)O)O)O)NCCCC3=CC=C(C=C3)<br />F
D06AKW,CC1=CC=CC(=C1)C2=CC=C(O2)C(=O)N=C(N)N
D08BDI,CC1=CC=CC=C1C2=CC=C(O2)C(=O)N=C(N)N
D09ZSK,C1=CC=C(C=C1)C2=CC=C(O2)C(=O)N=C(N)N
D01ZIP,CCC1=CC=CC=C1C2=CC=C(O2)C(=O)N=C(N)N
D0N8YZ,CC1=C(C=C(C=C1)C(=O)C(=O)C2=CC=CC=C2)C
D0F3RN,C1=CC=C(C=C1)C(=O)C(=O)C2=CC=C(C=C2)Cl
D0L1ST,CC1=CC=C(C=C1)C(=O)C(=O)C2=CC=C(C=C2)Cl
D0T5XC,COC1=CC=C(C=C1)C(=O)C(=O)C2=CC=CC=C2
D0D7FN,C1=CC=C(C=C1)C(=O)C(=O)C2=CC=C(C=C2)[N+](=O)[O-]
D03HZT,C1=CC=C(C(=C1)C(=O)C(=O)C2=CC=CC=C2Cl)Cl
D01VAU,COC1=CC=CC(=C1)C(=O)C(=O)C2=CC(=CC=C2)OC
D0UT1X,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)C(=O)C2=CC(=CC=C2)[N+](<br />=O)[O-]
D06FFD,C1=CC(=CC=C1C(=O)C(=O)C2=CC=C(C=C2)Br)Br
D05EYA,C1=CC(=CC=C1C(=O)C(=O)C2=CC=C(C=C2)Cl)Cl
D0UZ8R,COC1=CC=C(C=C1)C(=O)C(=O)C2=CC=C(C=C2)OC
D0UK5A,CC1=CC=C(C=C1)C(=O)C(=O)C2=CC=C(C=C2)C
D02TLP,CC(=O)C(=O)C1=CC=CC=C1
D08AOG,COC(C1=CC=CC=C1)(C(=O)C2=CC=CC=C2)OC
D0N0HK,C1(=C(C(=O)C(=O)C(=C1Cl)Cl)Cl)Cl
D0Z1WQ,CC(C)(C)C1=CC(=O)C(=O)C(=C1)C(C)(C)C
D0BB2U,C1=CC=C(C=C1)C(=O)C(=O)C2=CC=C(C=C2)C(=O)O
D0D0BI,C1(=C(C(=O)C(=C(C1=O)Cl)Cl)Cl)Cl
D05AVX,CCCCC(=O)C(=O)C
D02NNS,CC(CN1CCN(CC1)C2=CC(=C(C=C2F)F)F)N3C(=O)CC4(CCCC4)CC3=O
DB04967,CCN(CC)CCNC1=C2C(=O)C3=CC=CC=C3SC2=C(C)C=C1
D03XGJ,C1=CC=C(C=C1)C(=O)C2=C(N=C(C=C2)N)N
D0X1MY,C1(=NNC(=S)S1)N
D0J1PZ,CC(=O)NC1=NNC(=S)S1
D0Z5RQ,CCC(C)C(C(=O)OCC1CCN2C1CCC2)O
D0D1BR,CC(C)OC(=O)C(C)NP(=O)(COC(C)CN1C=NC2=C1N=CN=C2N)OC3=CC=<br />CC=C3
D0A8ME,CC(=O)NC1CSSCC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(<br />NC1=O)CCC(=O)O)CC2=CN=CN2)CC3=CC=CC=C3)CCCN=C(N)N)CC4=C<br />NC5=CC=CC=C54)C(=O)N
D07DWH,CC(=O)NC(CCCN=C(N)N)C(=O)NC1CSSCC(NC(=O)C(NC(=O)C(NC(=O<br />)C(NC(=O)C(NC(=O)C(NC1=O)CCC(=O)O)CC2=CN=CN2)CC3=CC=CC=<br />C3)CCCN=C(N)N)CC4=CNC5=CC=CC=C54)C(=O)N
D05XRI,CC(=O)NC(CCCN=C(N)N)C(=O)NC1CSSCC(NC(=O)C(NC(=O)C(NC(=O<br />)C(NC(=O)C(NC(=O)C(NC1=O)CCC(=O)O)CC2=CN=CN2)CC3=CC=CC=<br />C3)CCCN=C(N)N)CC4=CNC5=CC=CC=C54)C(=O)N
D0ZD3M,CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CCCNC(=O)N)C(=O)NC2CSS<br />CC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC2=O)CCC(=O<br />)O)CC3=CN=CN3)CC4=CC=CC=C4)CCCN=C(N)N)CC5=CNC6=CC=CC=C6<br />5)C(=O)N
D09OMI,CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CCCCN)C(=O)NC2CSSCC(NC<br />(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC2=O)CCC(=O)O)CC<br />3=CN=CN3)CC4=CC=CC=C4)CCCN=C(N)N)CC5=CNC6=CC=CC=C65)C(=<br />O)N
D07IBF,CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CCCN=C(N)N)C(=O)NC2CSS<br />CC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC2=O)CCC(=O<br />)O)CC3=CN=CN3C)CC4=CC=CC=C4)CCCN=C(N)N)CC5=CNC6=CC=CC=C<br />65)C(=O)N
D0R0BY,CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CCCN=C(N)N)C(=O)NC2CSS<br />CC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC2=O)CCC(=O<br />)O)CC3=CN=CN3)CC4=CC=C(C=C4)Cl)CCCN=C(N)N)CC5=CNC6=CC=C<br />C=C65)C(=O)N
D0WG8P,CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CCCN=C(N)N)C(=O)NC2CSS<br />CC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC2=O)CCC(=O<br />)O)CC3=CN=CN3)CC4=CC=C(C=C4)F)CCCN=C(N)N)CC5=CNC6=CC=CC<br />=C65)C(=O)N
